year,age,networth,networth_infadj,wgt
2016,35,318826.38105975196,338946.1044063844,3611.1004950743713
2016,35,318826.38105975196,338946.1044063844,3696.379004617627
2016,35,318826.38105975196,338946.1044063844,3671.289669447625
2016,35,318826.38105975196,338946.1044063844,3593.6124803323946
2016,66,1581674.8590755356,1681487.3666953475,4735.195857923524
2016,66,1581674.8590755356,1681487.3666953475,4568.666709722658
2016,66,1581674.8590755356,1681487.3666953475,4677.3899444249855
2016,66,1581674.8590755356,1681487.3666953475,4642.692873606441
2016,66,1581674.8590755356,1681487.3666953475,4549.243173759959
2016,30,23310.710259301013,24781.746124876845,5347.1215025160545
2016,30,23310.710259301013,24781.746124876845,5352.274184602484
2016,30,23310.710259301013,24781.746124876845,5343.298816707581
2016,30,23434.04735062007,24912.86647474392,5386.31334540417
2016,30,23310.710259301013,24781.746124876845,5363.171506226207
2016,42,-40540.901916572715,-43099.25900130698,3914.873098232684
2016,42,-40454.56595264938,-43007.47475640003,3918.6220265764873
2016,42,-40491.5670800451,-43046.81086136015,3921.671944572268
2016,42,-40516.234498308906,-43073.03493133357,3915.8930792836095
2016,42,-40528.56820744081,-43086.14696632027,3927.2799488086516
2016,77,29267645.095828637,31114596.782756753,51.926886271065015
2016,77,36053651.86020293,38328838.43244312,49.92611572434492
2016,77,34108009.24464487,36260414.913290046,50.7198409804834
2016,77,28330899.88726043,30118737.72551633,50.02232921372298
2016,77,38972300.789177,41431670.39169754,51.05642955850591
2016,68,815504.8478015783,866967.7533210884,4037.8855612201683
2016,68,685260.8793686584,728504.6638614591,3895.545941542172
2016,68,740022.5479143179,786722.0992024395,3987.849048198389
2016,68,417742.7282976325,444104.6249997772,3958.9572054953874
2016,68,1051202.0293122886,1117538.7419170653,3878.6936899551233
2016,41,-9792.965050732808,-10410.955779445618,6527.9478324670545
2016,41,-9743.630214205186,-10358.507639498788,6642.441394815303
2016,41,-11211.341600901917,-11918.83980291696,6565.166393520505
2016,41,-9731.29650507328,-10345.39560451208,6568.529199605735
2016,41,-8756.933483652761,-9309.544840562201,6613.402037876629
2016,61,566672.2660653889,602432.4474642681,3675.143276190656
2016,61,565438.8951521984,601121.2439655974,3546.156543972144
2016,61,566672.2660653889,602432.4474642681,3630.471051292483
2016,61,565438.8951521984,601121.2439655974,3603.880287989183
2016,61,565438.8951521984,601121.2439655974,3530.5608609856217
2016,62,52942446.4487035,56283410.1804412,29.99799978941985
2016,62,52942446.4487035,56283410.1804412,27.9577808712923
2016,62,52942446.4487035,56283410.1804412,29.368830607474422
2016,62,52942446.4487035,56283410.1804412,27.847654452426077
2016,62,52942446.4487035,56283410.1804412,28.29264134440627
2016,66,1703100.2254791432,1810575.3511394812,3508.115784805407
2016,66,1700756.8207440812,1808084.0644920068,3545.53187103834
2016,66,1705690.3043968433,1813328.8784866896,3470.4767523507317
2016,66,1702976.8883878242,1810444.2307896141,3639.483395448534
2016,66,1703840.2480270574,1811362.0732386834,3652.1525400165533
2016,77,2581383.6527621197,2744283.36254291,3412.5723254901386
2016,77,6824722.277339346,7255400.327509644,1970.3362501674128
2016,77,1753791.770011274,1864465.814934848,3891.367715988107
2016,77,1872072.0405862457,1990210.2304573716,3540.288062000834
2016,77,1643528.4103720407,1747244.2221536848,3783.82774192178
2016,48,47091.33483652762,50063.06078274724,3768.3532807809925
2016,48,42034.51409244645,44687.12643819724,3778.9197330515985
2016,48,43970.90642615558,46745.715931110295,3772.296612948554
2016,48,47165.33709131905,50141.73299266749,3780.271907361063
2016,48,45228.94475760992,48083.143499754435,3766.86356896742
2016,61,1252303.1567080044,1331330.4723753282,5000.720035997367
2016,61,1252303.1567080044,1331330.4723753282,4684.914995480052
2016,61,1252426.4937993234,1331461.5927251952,4881.13823240416
2016,61,1252426.4937993234,1331461.5927251952,4788.907797890248
