year,age,hours_per_week,weeks_worked,weight
2023,64,0,0,118039
2023,20,32,52,0
2023,43,40,52,110070
2023,42,40,52,135649
2023,46,26,13,117201
2023,67,0,0,104360
2023,65,0,0,89429
2023,67,10,52,96510
2023,73,0,0,92402
2023,76,0,0,88319
2023,67,15,26,117854
2023,68,0,0,104360
2023,31,40,52,114281
2023,37,45,52,218445
2023,32,50,52,113651
2023,36,99,52,145430
2023,32,0,0,118503
2023,25,50,52,177026
2023,32,40,52,120768
2023,38,45,52,0
2023,63,55,52,108801
2023,67,44,52,96510
2023,64,0,0,86266
2023,48,0,0,97184
2023,50,40,52,112809
2023,21,0,0,145788
2023,65,45,28,104101
2023,67,0,0,122516
2023,80,0,0,112865
2023,85,0,0,124795
2023,61,50,52,135411
2023,64,30,30,118694
2023,36,50,52,126545
2023,32,50,52,120768
2023,49,40,52,111683
2023,50,20,52,118941
2023,23,0,0,145788
2023,85,0,0,83144
2023,62,40,52,112476
2023,68,36,52,95194
2023,68,0,0,89429
2023,54,45,52,86960
2023,30,40,52,0
2023,34,40,52,0
2023,34,43,52,0
2023,27,40,14,0
2023,24,40,52,0
2023,49,0,0,0
2023,45,0,0,0
2023,36,36,52,0
2023,37,0,0,0
2023,49,40,52,0
2023,42,36,52,0
2023,30,35,52,214828
2023,65,0,0,141763
2023,58,0,0,88221
2023,73,0,0,93687
2023,67,0,0,97045
2023,65,0,0,89925
2023,51,35,52,120915
2023,52,60,52,147127
2023,23,40,52,150722
2023,52,40,52,0
2023,60,40,40,135411
2023,24,0,0,0
2023,20,0,0,174890
2023,28,40,52,138532
2023,29,50,52,158719
2023,65,10,49,104360
2023,64,0,0,108801
2023,61,0,0,95219
2023,73,0,0,81242
2023,71,0,0,89536
2023,42,32,52,157661
2023,66,40,52,89925
2023,63,0,0,86744
2023,37,0,0,121888
2023,37,60,52,146236
2023,30,30,52,130576
2023,32,40,52,130968
2023,64,0,0,118039
2023,80,0,0,88319
2023,60,40,52,119731
2023,73,0,0,93687
2023,64,8,24,108201
2023,64,44,52,100986
2023,33,31,52,118503
